model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
ConvNN-348k,348399.0,last_layer,kron,0.0099999997764825,1.957909,2.2886639,0.036369104,0.041736275,0.17575193359375,0.2007325737857818,0.158996298828125,2020,1.8202624666883271,0.1592757945551754,18.996780395507812
ConvNN-381k,381800.0,last_layer,kron,0.0099999997764825,1.8487192,2.2801251,0.034167618,0.042319696,0.1683174609375,0.1945115225684642,0.152191826171875,2110,1.8122941419786431,0.1524711858067504,19.66923713684082
ConvNN-407k,407092.0,last_layer,kron,0.0099999997764825,1.8276066,2.2435782,0.03552445,0.043575425,0.17708392578125,0.2044477293884754,0.1608723046875,2190,1.804367205690375,0.16115183793541799,18.58870506286621
ConvNN-442k,442803.0,last_layer,kron,0.0099999997764825,1.8867469,2.3881598,0.036781147,0.047124535,0.18043478515625,0.2118169567203521,0.164692421875,2270,1.9163068103348149,0.16497203152678983,20.45623016357422
ConvNN-470k,470351.0,last_layer,kron,0.0099999997764825,1.8370398,2.3509471,0.03735321,0.04836039,0.18578037109375,0.218413064507246,0.17005267578125,2360,1.919510506500615,0.1703323926402621,20.458297729492188
ConvNN-508k,508683.0,last_layer,kron,0.0099999997764825,1.8076977,2.365008,0.03821588,0.05091412,0.18721130859375,0.2217181433665752,0.1708040234375,2440,1.9372029024430313,0.17108375532376577,20.67609405517578
ConvNN-548k,548878.0,last_layer,kron,0.0099999997764825,1.7371435,2.3323798,0.039269667,0.053651106,0.18864884765625,0.2239907345187664,0.17033962890625,2530,1.907561809441186,0.17061935150443938,19.989757537841797
ConvNN-579k,579129.0,last_layer,kron,0.0099999997764825,1.648459,2.2507384,0.04129076,0.057893943,0.19338814453125,0.232490974291563,0.17459703125,2610,1.867188819797742,0.17487683899793924,19.41950035095215
ConvNN-621k,621574.0,last_layer,kron,0.0099999997764825,1.5808023,2.1952028,0.042645,0.06094293,0.19668400390625,0.2374745893943309,0.17653166015625,2690,1.827184915543778,0.17681150659754125,18.187442779541016
ConvNN-654k,654141.0,last_layer,kron,0.0099999997764825,1.6563338,2.3094754,0.044059593,0.06411169,0.199561015625,0.2425308278679847,0.178419140625,2780,1.915181436040728,0.17869902481665562,20.07785987854004
